race_id,track,track_overtaking_difficulty,track_avg_speed,driver_name,team,driver_skill,car_performance,weather,grid_position,tire_strategy,pit_stops,had_incident,safety_car,finishing_position,won,podium,points_finish,points_earned
1,Jeddah,65,88,Verstappen,RedBull,95,95,dry,2,soft,2,False,False,1,1,1,1,25
1,Jeddah,65,88,Hamilton,Mercedes,94,90,dry,2,mixed,2,False,False,2,0,1,1,18
1,Jeddah,65,88,Leclerc,Ferrari,92,92,dry,3,hard,1,False,False,3,0,1,1,15
1,Jeddah,65,88,Perez,RedBull,87,95,dry,3,hard,3,False,False,4,0,0,1,12
1,Jeddah,65,88,Russell,Mercedes,87,90,dry,4,soft,2,False,False,5,0,0,1,10
1,Jeddah,65,88,Sainz,Ferrari,88,92,dry,7,medium,2,False,False,6,0,0,1,8
1,Jeddah,65,88,Alonso,AstonMartin,89,85,dry,7,hard,2,False,True,7,0,0,1,6
1,Jeddah,65,88,Stroll,AstonMartin,82,85,dry,5,mixed,1,False,False,8,0,0,1,4
1,Jeddah,65,88,Norris,McLaren,90,88,dry,11,soft,2,False,False,9,0,0,1,2
1,Jeddah,65,88,Piastri,McLaren,85,88,dry,10,medium,2,False,False,10,0,0,1,1
1,Jeddah,65,88,Magnussen,Haas,80,74,dry,9,soft,2,False,False,11,0,0,0,0
1,Jeddah,65,88,Gasly,Alpine,83,80,dry,12,medium,2,False,False,12,0,0,0,0
1,Jeddah,65,88,DeVries,Alpine,78,80,dry,12,medium,2,False,False,13,0,0,0,0
1,Jeddah,65,88,Ricciardo,AlphaTauri,84,77,dry,17,soft,2,False,False,14,0,0,0,0
1,Jeddah,65,88,Albon,Williams,83,75,dry,16,mixed,1,False,False,15,0,0,0,0
1,Jeddah,65,88,Bottas,AlfaRomeo,85,76,dry,18,hard,2,False,False,16,0,0,0,0
1,Jeddah,65,88,Hulkenberg,Haas,82,74,dry,17,hard,2,False,False,17,0,0,0,0
1,Jeddah,65,88,Sargeant,Williams,77,75,dry,15,medium,3,False,False,18,0,0,0,0
1,Jeddah,65,88,Tsunoda,AlphaTauri,81,77,dry,19,hard,2,False,False,19,0,0,0,0
1,Jeddah,65,88,Zhou,AlfaRomeo,79,76,dry,20,soft,2,False,False,20,0,0,0,0
2,Monza,35,90,Verstappen,RedBull,95,95,wet,1,medium,2,False,False,1,1,1,1,25
2,Monza,35,90,Perez,RedBull,87,95,wet,2,mixed,1,False,False,2,0,1,1,18
2,Monza,35,90,Hamilton,Mercedes,94,90,wet,2,soft,2,False,True,3,0,1,1,15
